FIPS,E_TOTPOP,E_AGE65,E_AGE17,acc_hospital_clinic,drop_hospital_clinic,droppct_hospital_clinic,acc_residential_elderly_disabled,drop_residential_elderly_disabled,droppct_residential_elderly_disabled,acc_childcare_center,drop_childcare_center,droppct_childcare_center,acc_school,drop_school,droppct_school
06001400100,3269.0,884.0,661.0,0.012810227553113864,0.0,0.0,0.08704823923835374,0.0,0.0,0.21001098766078496,0.0,0.0,0.0015537021151303565,0.0,0.0
06001400200,2147.0,553.0,350.0,0.01297725573898534,0.0,0.0,0.08568127207855868,0.0,0.0,0.24855900200946301,0.0,0.0,0.0018702789294319042,0.0,0.0
06001400300,5619.0,916.0,942.0,0.01302020794500054,0.0,0.0,0.08532020761322458,0.0,0.0,0.25230463227679334,0.0,0.0,0.0019409067122717625,0.0,0.0
06001400400,4278.0,550.0,941.0,0.01297823998391779,0.0,0.0,0.08501327072670632,0.0,0.0,0.2549701816234341,0.0,0.0,0.001848197609782755,0.0,0.0
06001400500,3949.0,649.0,496.0,0.012974578000610922,0.0,0.0,0.08438294519388484,0.0,0.0,0.25758773556864145,0.0,0.0,0.0018203888542140509,0.0,0.0
06001400600,2058.0,160.0,335.0,0.01301326995801543,0.0,0.0,0.084384510676546,0.0,0.0,0.2562013497556236,0.0,0.0,0.0018802578268280437,0.0,0.0
06001400700,4758.0,475.0,836.0,0.013010077108910008,0.0,0.0,0.08374906303978805,0.0,0.0,0.25495367989042694,0.0,0.0,0.0018391196669777265,0.0,0.0
06001400800,4335.0,555.0,549.0,0.01296927682167644,0.0,0.0,0.0827960444547958,0.0,0.0,0.24639634949845465,0.0,0.0,0.0017381739214789018,0.0,0.0
06001400900,2844.0,136.0,460.0,0.013012110819999208,0.0,0.0,0.08306078154220298,0.0,0.0,0.24689726097211223,0.0,0.0,0.0017942694576609747,0.0,0.0
06001401000,6277.0,436.0,1036.0,0.013066353314638743,0.0,0.0,0.08389721114218265,0.0,0.0,0.2495228790464463,0.0,0.0,0.0019067872780633812,0.0,0.0
06001401100,5537.0,421.0,764.0,0.013074451455204113,0.0,0.0,0.08469786613263301,0.0,0.0,0.2524843680903782,0.0,0.0,0.00197238918891454,0.0,0.0
06001401200,2994.0,328.0,321.0,0.01307297647406737,0.0,0.0,0.08526232459540466,0.0,0.0,0.2515118399142116,0.0,0.0,0.002017372120009047,0.0,0.0
06001401300,4608.0,522.0,377.0,0.013122552692858542,0.0,0.0,0.0848738563742188,0.0,0.0,0.23566294974228497,0.0,0.0,0.0020092978323067324,0.0,0.0
06001401400,5392.0,424.0,740.0,0.01310854498482077,0.0,0.0,0.08409965506460608,0.0,0.0,0.23357794877159738,0.0,0.0,0.0019331068367868765,0.0,0.0
06001401500,3035.0,176.0,475.0,0.013088753819142441,0.0,0.0,0.08335995737085343,0.0,0.0,0.22692648487244493,0.0,0.0,0.0018558346564698635,0.0,0.0
06001401600,2403.0,122.0,502.0,0.013105363650600034,0.0,0.0,0.0834603191160753,0.0,0.0,0.21455354940727836,0.0,0.0,0.0018618151363522814,0.0,0.0
06001401700,3276.0,132.0,469.0,0.013019967480945582,0.0,0.0,0.08131565864053909,0.0,0.0,0.16235770615042755,0.0,0.0,0.0016315177211017131,0.0,0.0
06001401800,1709.0,127.0,333.0,0.01307502221537325,0.0,0.0,0.08210725245669141,0.0,0.0,0.1591573748816163,0.0,0.0,0.0017024746234464304,0.0,0.0
06001402200,2337.0,247.0,317.0,0.013088601902357581,0.0,0.0,0.08243477400813264,0.0,0.0,0.15751583773126449,0.0,0.0,0.0017217840832762597,0.0,0.0
06001402400,2623.0,481.0,480.0,0.013116487674642059,0.0,0.0,0.08356832090565997,0.0,0.0,0.20129535497281756,0.0,0.0,0.0018588686695113806,0.0,0.0
06001402500,2010.0,208.0,411.0,0.013124212206778185,0.0,0.0,0.08361671943125988,0.0,0.0,0.18242773568530313,0.0,0.0,0.0018325751149430136,0.0,0.0
06001402600,1300.0,346.0,221.0,0.013136471211237765,0.0,0.0,0.0841572504744384,0.0,0.0,0.19007236575345635,0.0,0.0,0.0018788834690155094,0.0,0.0
