facility_id,category,subtype,source,facility_name,lat,lon,has_coords,address,city,county,zip,status,first_year,last_year,capacity,fire_id,fire_name,fire_year,bucket,dins_year,dist_m,census_tract,generalized
HCAI_106040875,hospital_clinic,General Acute Care Hospital,HCAI_listing,ADVENTIST HEALTH FEATHER RIVER,39.75743,-121.57228,True,5974 PENTZ ROAD,PARADISE,BUTTE,95969,complete_loss,2017.0,2019.0,100,CAMP_2018,CAMP,2018.0,complete_loss,2018.0,47.29995056100876,,FALSE
HCAI_106281078,hospital_clinic,General Acute Care Hospital,HCAI_listing,ADVENTIST HEALTH ST. HELENA,38.5425498,-122.4748281,True,10 WOODLAND RD.,ST. HELENA,Napa,94574,no_damage,2017.0,2025.0,150,GLASS_2020,GLASS,2020.0,no_damage,2020.0,31.81053696663967,,FALSE
HCAI_306044177,hospital_clinic,Community Clinic,HCAI_listing,CARENET PREGNANCY CENTER OF PARADISE,39.7757097,-121.5929302,True,6585 CLARK RD,PARADISE,Butte,95969,no_damage,2017.0,2025.0,,CAMP_2018,CAMP,2018.0,no_damage,2018.0,5.582565381342776,,FALSE
HCAI_306191387,hospital_clinic,Chronic Dialysis Clinic,HCAI_listing,EATON CANYON DIALYSIS CENTER,34.1695354,-118.097453,True,2551 E WASHINGTON BLVD,PASADENA,Los Angeles,91107,no_damage,2017.0,2025.0,,EATON_2025,EATON,2025.0,no_damage,2025.0,11.025707865362074,,FALSE
CCC-006213,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,2007.0,,22,EATON_2025,EATON,2025.0,complete_loss,2025.0,24.39921508313972,06037461100,TRUE
CCC-015841,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,no_damage,1994.0,,44,EATON_2025,EATON,2025.0,no_damage,2025.0,19.856161852122607,06037461100,TRUE
CCC-006251,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,FRESNO,,no_damage,1988.0,,15,CREEK_2020,CREEK,2020.0,no_damage,2020.0,7.483749449512744,06019006409,TRUE
CCC-003517,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,1992.0,,30,PALISADES_2025,PALISADES,2025.0,complete_loss,2025.0,82.00355010665554,06037980019,TRUE
CCC-015930,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,1989.0,,80,PALISADES_2025,PALISADES,2025.0,complete_loss,2025.0,82.00355010665554,06037980019,TRUE
CCC-019250,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,1993.0,2025.0,34,EATON_2025,EATON,2025.0,complete_loss,2025.0,29.908027952481447,06037460200,TRUE
CCC-007874,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,PLUMAS,,no_damage,2015.0,,20,DIXIE_2021,DIXIE,2021.0,no_damage,2021.0,33.49548901201234,06063000400,TRUE
CCC-002124,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,VENTURA,,not_matched,1994.0,,68,WOOLSEY_2018,WOOLSEY,2018.0,,,,06037800335,TRUE
CCC-007476,childcare_center,DAY CARE CENTER,ChildCareCenters,,,,,,,LOS ANGELES,,complete_loss,1993.0,,66,PALISADES_2025,PALISADES,2025.0,complete_loss,2025.0,31.293945719513157,06037262604,TRUE
