facility_id,category,subtype,source,facility_name,lat,lon,has_coords,address,city,county,zip,status,first_year,last_year,capacity,census_tract,generalized
HCAI_106010735,hospital_clinic,General Acute Care Hospital,HCAI_listing,ALAMEDA HOSPITAL,37.7626798,-122.2541062,True,2070 CLINTON AVE,ALAMEDA,Alameda,94501,Open,2017.0,2025.0,101,,FALSE
HCAI_106010739,hospital_clinic,General Acute Care Hospital,HCAI_listing,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,37.8556279,-122.2575014,True,2450 ASHBY AVENUE,BERKELEY,Alameda,94705,Open,2017.0,2025.0,339,,FALSE
HCAI_106010776,hospital_clinic,General Acute Care Hospital,HCAI_listing,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,37.8369379,-122.2672306,True,747 52ND STREET,OAKLAND,Alameda,94609,Open,2017.0,2025.0,163,,FALSE
HCAI_106010811,hospital_clinic,General Acute Care Hospital,HCAI_listing,FAIRMONT HOSPITAL,37.7081679,-122.1198228,True,15400 FOOTHILL BOULEVARD,SAN LEANDRO,Alameda,94578,Open,2017.0,2025.0,109,,FALSE
HCAI_106010844,hospital_clinic,General Acute Care Hospital,HCAI_listing,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,37.8640724,-122.2687119,True,2001 DWIGHT WAY,BERKELEY,Alameda,94704,Open,2017.0,2025.0,64,,FALSE
HCAI_106010846,hospital_clinic,General Acute Care Hospital,HCAI_listing,HIGHLAND HOSPITAL,37.7990596,-122.2325063,True,1411 EAST 31ST STREET,OAKLAND,Alameda,94602,Open,2017.0,2025.0,169,,FALSE
HCAI_106010887,hospital_clinic,General Acute Care Hospital,HCAI_listing,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,37.7160578,-122.1304709,True,2800 BENEDICT DRIVE,SAN LEANDRO,Alameda,94577,Open,2017.0,2025.0,99,,FALSE
HCAI_106010937,hospital_clinic,General Acute Care Hospital,HCAI_listing,ALTA BATES SUMMIT MEDICAL CENTER,37.821175,-122.26304,True,350 HAWTHORNE AVENUE,OAKLAND,Alameda,94609,Open,2017.0,2025.0,309,,FALSE
HCAI_106010967,hospital_clinic,General Acute Care Hospital,HCAI_listing,ST. ROSE HOSPITAL,37.6330725,-122.0885076,True,27200 CALAROGA AVENUE,HAYWARD,Alameda,94545,Open,2017.0,2025.0,155,,FALSE
HCAI_106010983,hospital_clinic,General Acute Care Hospital,HCAI_listing,STANFORD HEALTH CARE TRI-VALLEY,37.677353,-121.7819586,True,1111 E. STANLEY BOULEVARD,LIVERMORE,Alameda,94550,Open,2017.0,2025.0,75,,FALSE
HCAI_106010987,hospital_clinic,General Acute Care Hospital,HCAI_listing,WASHINGTON HOSPITAL - FREMONT,37.5572736,-121.9779535,True,2000 MOWRY AVENUE,FREMONT,Alameda,94538,Open,2017.0,2025.0,415,,FALSE
HCAI_106013619,hospital_clinic,General Acute Care Hospital,HCAI_listing,SAN LEANDRO HOSPITAL,37.712266,-122.1435578,True,13855 EAST 14TH STREET,SAN LEANDRO,Alameda,94578,Open,2017.0,2025.0,91,,FALSE
HCAI_106013626,hospital_clinic,General Acute Care Hospital,HCAI_listing,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,37.8201507,-122.2639466,True,3100 SUMMIT STREET,OAKLAND,Alameda,94609,Open,2017.0,2025.0,,,FALSE
HCAI_106013687,hospital_clinic,Chemical Dep. Recovery Hospital,HCAI_listing,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,37.8194841,-122.2641652,True,3012 SUMMIT STREET,OAKLAND,Alameda,94609,Open,2017.0,2025.0,24,,FALSE
HCAI_106014034,hospital_clinic,Acute Psychiatric Hospital,HCAI_listing,FREMONT HOSPITAL,37.5466189,-121.979662,True,39001 SUNDALE DRIVE,FREMONT,Alameda,94538,Open,2017.0,2025.0,148,,FALSE
HCAI_106014050,hospital_clinic,General Acute Care Hospital,HCAI_listing,STANFORD HEALTH CARE TRI-VALLEY,37.6933946,-121.8803417,True,5555 WEST LAS POSITAS BLVD.,PLEASANTON,Alameda,94588,Open,2017.0,2025.0,167,,FALSE
HCAI_106014132,hospital_clinic,General Acute Care Hospital,HCAI_listing,KAISER FOUNDATION HOSPITAL - FREMONT,37.5521617,-121.9754891,True,39400 PASEO PADRE PARKWAY,FREMONT,Alameda,94538,Open,2017.0,2025.0,100,,FALSE
