facility_id,category,fire_status,outcome,FIPS,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
HCAI_106010735,hospital_clinic,,outside_all_perimeters,06001428500,0.5191,0.0918,0.6128,0.4275,0.9698
HCAI_106010739,hospital_clinic,,outside_all_perimeters,06001423902,0.2592,0.2306,0.0922,0.1362,0.6699
HCAI_106010776,hospital_clinic,,outside_all_perimeters,06001401000,0.3187,0.3656,0.051,0.5133,0.6076
HCAI_106010811,hospital_clinic,,outside_all_perimeters,06001430500,0.5295,0.3239,0.4053,0.6153,0.8329
HCAI_106010844,hospital_clinic,,outside_all_perimeters,06001422901,0.4525,0.6468,0.0062,0.4385,0.8819
HCAI_106010846,hospital_clinic,,outside_all_perimeters,06001405700,0.6316,0.7053,0.1119,0.733,0.7927
HCAI_106010887,hospital_clinic,,outside_all_perimeters,06001432800,0.3008,0.181,0.491,0.4723,0.3672
HCAI_106010937,hospital_clinic,,outside_all_perimeters,06001401300,0.4582,0.3515,0.0782,0.4866,0.9149
HCAI_106010967,hospital_clinic,,outside_all_perimeters,06001437300,0.7655,0.7115,0.6071,0.7619,0.7889
HCAI_106010983,hospital_clinic,,outside_all_perimeters,06001451602,0.1614,0.0179,0.2458,0.1706,0.572
HCAI_106010987,hospital_clinic,,outside_all_perimeters,06001441924,0.1895,0.2614,0.077,0.7136,0.2149
HCAI_106013619,hospital_clinic,,outside_all_perimeters,06001433104,0.8107,0.5283,0.7949,0.6191,0.9795
HCAI_106013626,hospital_clinic,,outside_all_perimeters,06001401300,0.4582,0.3515,0.0782,0.4866,0.9149
HCAI_106013687,hospital_clinic,,outside_all_perimeters,06001401300,0.4582,0.3515,0.0782,0.4866,0.9149
HCAI_106014034,hospital_clinic,,outside_all_perimeters,06001441927,0.3923,0.1379,0.1619,0.6734,0.8677
HCAI_106014050,hospital_clinic,,outside_all_perimeters,06001450743,0.2171,0.0843,0.2224,0.6647,0.4003
HCAI_106014132,hospital_clinic,,outside_all_perimeters,06001441929,0.0779,0.0311,0.0052,0.648,0.6186
HCAI_106014207,hospital_clinic,,outside_all_perimeters,06001406300,0.8584,0.6705,0.8561,0.7995,0.9096
HCAI_106014226,hospital_clinic,,outside_all_perimeters,06001430500,0.5295,0.3239,0.4053,0.6153,0.8329
HCAI_106014233,hospital_clinic,,outside_all_perimeters,06001430900,0.7883,0.4915,0.7034,0.5699,0.9892
HCAI_106014326,hospital_clinic,,outside_all_perimeters,06001403501,0.5479,0.4882,0.3518,0.4614,0.7715
HCAI_106014337,hospital_clinic,,outside_all_perimeters,06001433300,0.4826,0.325,0.6755,0.6881,0.4669
HCAI_106034002,hospital_clinic,,outside_all_perimeters,06005000500,0.3156,0.282,0.5311,0.106,0.371
HCAI_106040802,hospital_clinic,,outside_all_perimeters,06007003502,0.7781,0.8305,0.8183,0.3504,0.6504
HCAI_106040828,hospital_clinic,,outside_all_perimeters,06007000300,0.8232,0.72,0.6319,0.1538,0.9885
HCAI_106040875,hospital_clinic,complete_loss,lost_or_impacted,06007002000,0.2541,0.4293,0.0432,0.0029,0.5491
HCAI_106040937,hospital_clinic,,outside_all_perimeters,06007002700,0.5743,0.4055,0.6566,0.0293,0.8818
HCAI_106040962,hospital_clinic,,outside_all_perimeters,06007000603,0.5611,0.8631,0.0529,0.19,0.7001
